  n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, heapSort_cmp, heapSort_swaps, heapSort_time, quick_cmp, quick_swaps, quick_time
 89,          4353,            2046,            169,          8100,              84,             97,         2635,           1059,            19,      1968,         207,         22
 90,          4464,            2100,            165,          8281,              87,             87,         2691,           1092,            18,      2041,         210,         26
 91,          4491,            2112,            169,          8464,              85,             90,         2718,           1100,            16,      2065,         216,         23
 92,          4520,            2125,            174,          8649,              88,             52,         2763,           1121,            13,      2087,         215,         16
 93,          4607,            2167,             45,          8836,              88,             47,         2776,           1123,            11,      2096,         216,         14
 94,          4688,            2206,             69,          9025,              89,             47,         2819,           1139,            11,      2135,         218,         14
 95,          4705,            2213,             35,          9216,              92,             51,         2863,           1165,            11,      2156,         220,         14
 96,          4858,            2288,             32,          9409,              93,             49,         2900,           1182,            11,      2339,         210,         15
 97,          4943,            2329,             32,          9604,              92,             51,         2950,           1205,            11,      2281,         220,         15
 98,          5136,            2424,             34,          9801,              90,             50,         2988,           1218,            11,      2234,         234,         15
 99,          5307,            2508,             36,         10000,              94,             53,         3021,           1234,            11,      2348,         229,         15
100,          5432,            2569,             35,         10201,              97,             54,         3055,           1248,            12,      2347,         229,         17
